ZIP,Y,X
1035,42.359966,-72.577472
1036,42.062919,-72.430251
1037,42.349404,-72.20081
1038,42.381499,-72.607454
1039,42.379586,-72.696757
1040,42.204025,-72.630051
1041,42.207463,-72.611418
1050,42.272328,-72.865189
1053,42.354408,-72.701457
1054,42.474743,-72.482496
1056,42.171237,-72.472507
1057,42.094023,-72.323969
1059,42.413287,-72.530513
1060,42.324748,-72.655876
1061,42.323341,-72.690352
1062,42.331578,-72.692571
1063,42.319077,-72.644431
1066,42.410613,-72.625559
1068,42.346443,-72.049242
1069,42.165487,-72.3144
1070,42.53684,-72.933103
1071,42.171278,-72.86313
1072,42.467788,-72.42989
1073,42.225636,-72.721743
1074,42.38295,-72.100531
1075,42.235983,-72.582802
1077,42.053564,-72.771922
1079,42.1889,-72.329835
1080,42.181538,-72.372116
1081,42.061203,-72.22759
1082,42.262671,-72.265357
1083,42.212656,-72.194116
1084,42.408674,-72.889157
1085,42.131915,-72.749491
1086,42.14018,-72.756066
1088,42.386547,-72.639767
1089,42.117059,-72.639407
1090,42.12128,-72.654857
1092,42.207416,-72.233988
1093,42.435682,-72.648379
1094,42.349508,-72.140099
1095,42.120823,-72.44327
1096,42.399296,-72.749011
1097,42.160733,-72.839797
1098,42.307673,-72.878084
1101,42.099922,-72.589584
1102,42.116054,-72.53858
1103,42.102044,-72.587143
1104,42.128134,-72.571488
1105,42.101072,-72.579177
1106,42.052405,-72.567774
1107,42.122891,-72.607189
1108,42.082083,-72.554368
1109,42.118736,-72.548305
1111,42.117977,-72.547899
1114,42.102881,-72.592746
1115,42.104032,-72.591791
1116,42.045767,-72.570785
1118,42.093934,-72.527899
1119,42.122853,-72.506417
1128,42.094006,-72.49483
1129,42.122932,-72.486989
1133,42.106349,-72.595312
1138,42.088597,-72.561028
1139,42.116316,-72.546932
1144,42.101625,-72.594817
1151,42.151001,-72.506454
1152,42.152789,-72.511258
1199,42.119147,-72.603412
1201,42.455451,-73.249993
1202,42.457889,-73.322048
1203,42.453189,-73.262785
1220,42.619977,-73.12078
1222,42.056401,-73.318783
1223,42.381306,-73.143709
1224,42.489291,-73.195563
1225,42.555166,-73.156002
1226,42.469716,-73.162714
1227,42.472396,-73.162019
1229,42.286122,-73.346812
1230,42.204884,-73.360206
1235,42.433437,-73.106662
1236,42.253363,-73.367521
1237,42.514353,-73.242079
1238,42.312024,-73.247738
1240,42.363117,-73.273909
1242,42.330029,-73.250299
1243,42.346522,-73.008342
1244,42.114506,-73.267171
1245,42.205175,-73.228055
1247,42.694551,-73.113196
1252,42.196701,-73.436284
1253,42.184701,-73.098513
1254,42.401705,-73.348236
1255,42.115324,-73.120359
1256,42.576296,-73.030921
1257,42.077092,-73.395288
1258,42.120675,-73.474239
1259,42.068111,-73.287921
1260,42.281234,-73.278924
1262,42.303969,-73.315856
1263,42.28901,-73.319529
1264,42.243506,-73.205466
1266,42.333061,-73.380396
1267,42.699457,-73.210225
1270,42.336404,-73.254387
1301,42.602912,-72.598574
1302,42.65202,-72.609653
1330,42.522471,-72.785664
1331,42.58886,-72.224089
1337,42.665429,-72.537321
1338,42.598874,-72.740885
1339,42.633875,-72.875556
1340,42.711706,-72.719125
1341,42.511022,-72.688092
1342,42.553684,-72.589272
1343,42.6438,-72.987878
1344,42.605957,-72.410738
1346,42.682152,-72.838218
1347,42.557611,-72.518664
1349,42.57872,-72.49214
1350,42.717039,-72.947256
1351,42.536668,-72.530141
1354,42.675878,-72.448536
1355,42.485715,-72.341275
1360,42.700499,-72.450887
1364,42.600025,-72.305556
1366,42.472326,-72.204057
1367,42.689349,-72.935421
1368,42.684928,-72.196002
1370,42.59593,-72.733374
1373,42.476354,-72.610707
1375,42.461326,-72.563693
1376,42.60474,-72.546507
1378,42.677282,-72.343139
1379,42.561643,-72.385557
1380,42.569537,-72.406436
1420,42.576269,-71.802089
1430,42.6536,-71.924255
1431,42.677809,-71.811241
1432,42.559756,-71.57532
1436,42.604578,-72.070738
1438,42.563733,-72.040368
1440,42.574542,-71.995414
1441,42.573616,-71.994641
1450,42.608416,-71.556651
1451,42.503056,-71.575944
1452,42.487928,-72.007111
1453,42.525279,-71.753473
1460,42.543481,-71.484168
1462,42.588874,-71.731381
1463,42.67343,-71.591435
1464,42.559484,-71.646441
1467,42.483655,-71.621609
1468,42.54986,-72.065785
1469,42.653698,-71.691559
1470,42.608252,-71.57189
1471,42.607854,-71.572329
1472,42.606629,-71.62914
1473,42.540906,-71.906138
1474,42.66985,-71.745495
1475,42.677984,-72.045113
1477,42.695867,-72.017823
1501,42.205001,-71.840473
1503,42.374084,-71.632431
1504,42.026266,-71.528483
1505,42.331643,-71.734141
1506,42.203252,-72.10005
1507,42.148385,-71.941347
1508,42.151392,-71.989604
1509,42.172996,-71.97562
1510,42.419337,-71.685094
1515,42.222612,-72.053004
1516,42.092571,-71.716652
1517,42.470175,-71.840195
1518,42.120891,-72.110243
1519,42.201023,-71.687981
1520,42.345803,-71.846302
1521,42.042514,-72.149839
1522,42.37458,-71.866788
1523,42.477605,-71.684044
1524,42.232557,-71.91828
1525,42.098419,-71.643912
1526,42.089553,-71.746666
1527,42.197286,-71.770146
1529,42.023722,-71.58381
1531,42.321017,-72.142586
1532,42.316146,-71.648168
1534,42.143607,-71.654859
1535,42.267155,-72.075987
1536,42.229493,-71.703587
1537,42.167512,-71.8889
1538,42.090256,-71.639891
1540,42.112676,-71.870984
1541,42.450061,-71.884655
1542,42.198886,-71.905902
1543,42.374268,-71.95045
1545,42.286758,-71.72154
1546,42.29182,-71.745989
1550,42.077174,-72.032139
1560,42.177849,-71.693325
1561,42.44104,-71.689995
1562,42.248647,-71.995246
1564,42.429747,-71.77566
1566,42.110485,-72.076312
1568,42.171445,-71.604409
1569,42.07843,-71.634079
1570,42.052997,-71.87971
1571,42.057246,-71.912522
1580,42.279943,-71.602289
1581,42.26661,-71.617194
1582,42.172651,-71.615591
1583,42.360502,-71.787608
1585,42.235246,-72.146449
1586,42.12631,-71.646126
1588,42.122324,-71.671383
1590,42.138424,-71.752496
1601,42.271095,-71.809743
1602,42.27018,-71.845149
1603,42.240138,-71.83701
1604,42.254072,-71.773068
1605,42.286159,-71.795924
1606,42.31095,-71.801404
1607,42.22725,-71.793758
1608,42.261746,-71.802267
1609,42.276415,-71.819491
1610,42.249011,-71.807956
1611,42.242998,-71.873372
1612,42.30158,-71.909525
1613,42.265737,-71.796527
1614,42.260921,-71.79949
1615,42.270221,-71.809332
1653,42.292703,-71.779043
1654,42.26901,-71.809164
1655,42.276871,-71.761225
1701,42.315117,-71.43412
1702,42.272053,-71.424769
1703,42.323005,-71.441791
1704,42.318232,-71.442658
1705,42.32025,-71.439495
1718,42.517046,-71.412305
1719,42.484999,-71.518519
1720,42.477355,-71.446686
1721,42.253129,-71.460756
1730,42.493394,-71.278531
1731,42.453933,-71.278811
1740,42.436503,-71.608599
1741,42.530569,-71.348298
1742,42.456444,-71.370954
1745,42.279788,-71.51812
1746,42.198796,-71.435066
1747,42.128675,-71.536023
1748,42.217945,-71.533938
1749,42.388756,-71.557437
1752,42.349703,-71.546947
1754,42.430993,-71.451177
1756,42.097875,-71.549061
1757,42.149786,-71.522396
1760,42.287156,-71.352308
1770,42.232964,-71.381395
1772,42.295044,-71.532273
1773,42.423884,-71.314205
1775,42.423402,-71.514638
1776,42.382955,-71.427696
1778,42.345323,-71.360897
1784,42.232334,-71.559628
1801,42.484238,-71.15743
1803,42.508545,-71.201304
1805,42.506346,-71.198244
1806,42.508117,-71.129353
1807,42.507987,-71.126572
1808,42.506526,-71.123072
1810,42.648787,-71.162026
1812,42.648594,-71.182543
1813,42.508236,-71.123401
1815,42.505881,-71.127147
1821,42.549001,-71.247667
1822,42.541274,-71.262879
1824,42.594635,-71.353461
1826,42.676829,-71.314567
1827,42.669019,-71.496025
1830,42.781433,-71.084197
1831,42.78576,-71.084665
1832,42.781791,-71.117351
1833,42.72786,-70.989048
1834,42.755514,-71.029608
1835,42.754563,-71.087282
1840,42.710311,-71.16402
1841,42.711749,-71.16384
1842,42.705479,-71.159968
1843,42.692019,-71.164643
1844,42.728753,-71.180274
1845,42.686182,-71.105718
1850,42.654952,-71.306891
1851,42.631561,-71.333924
1852,42.634512,-71.296816
1853,42.658587,-71.305216
1854,42.647505,-71.336201
1860,42.836632,-71.006424
1862,42.574152,-71.283855
1863,42.63329,-71.384253
1864,42.578246,-71.093981
1865,42.534713,-71.269156
1866,42.525394,-71.227935
1867,42.529523,-71.108868
1876,42.599815,-71.222861
1879,42.673414,-71.416749
1880,42.502111,-71.069674
1885,42.709481,-71.058483
1886,42.589321,-71.437474
1887,42.55977,-71.169957
1888,42.486156,-71.158082
1889,42.572012,-71.111231
1890,42.452923,-71.146003
1899,42.650375,-71.184561
1901,42.463486,-70.943394
1902,42.472369,-70.941341
1903,42.466185,-70.949729
1904,42.48896,-70.963687
1905,42.464742,-70.973863
1906,42.459776,-71.009684
1907,42.472258,-70.908157
1908,42.426338,-70.924198
1910,42.473328,-70.961315
1913,42.85592,-70.93645
1915,42.55897,-70.870966
1921,42.674498,-71.003708
1922,42.755852,-70.931083
1923,42.570577,-70.944262
1929,42.630853,-70.783172
1930,42.62341,-70.674449
1931,42.630304,-70.681613
1936,42.637922,-70.859398
1937,42.590815,-70.97707
1938,42.682211,-70.846774
1940,42.53609,-71.026506
1944,42.580512,-70.767075
1945,42.49703,-70.866105
1949,42.596262,-71.015245
1950,42.811261,-70.877264
1951,42.79799,-70.838249
1952,42.849603,-70.862141
1960,42.533241,-70.972639
1961,42.534558,-70.968238
1965,42.561561,-70.833711
1966,42.658742,-70.618711
1969,42.721075,-70.898492
1970,42.518116,-70.904469
1971,42.527567,-70.868387
1982,42.619543,-70.86166
1983,42.640415,-70.947058
1984,42.603665,-70.888664
1985,42.790919,-70.975482
2018,42.175682,-70.886913
2019,42.068354,-71.476042
2020,42.08398,-70.649731
2021,42.164447,-71.131647
2025,42.237751,-70.809991
2026,42.244649,-71.16764
2027,42.246639,-71.179916
2030,42.234095,-71.28611
2031,42.013234,-71.184314
2032,42.154795,-71.216436
2035,42.062193,-71.243476
2038,42.093298,-71.404394
2040,42.179589,-70.749679
2041,42.071576,-70.65438
2043,42.227974,-70.89115
2044,42.242484,-70.892883
2045,42.230785,-70.839051
2047,42.13786,-70.693847
2048,42.023917,-71.218787
2050,42.126517,-70.73631
2051,42.145186,-70.72388
2052,42.177982,-71.305897
2053,42.145235,-71.407864
2054,42.167699,-71.360144
2055,42.238834,-70.761576
2056,42.118496,-71.328676
2059,42.142821,-70.772118
2060,42.186869,-71.204063
2061,42.156831,-70.821267
2062,42.185459,-71.202181
2065,42.075863,-70.669561
2066,42.199513,-70.746169
2067,42.111505,-71.179831
2070,42.034805,-71.386
2071,42.104986,-71.270463
2072,42.124896,-71.109196
2081,42.142932,-71.25713
2090,42.216043,-71.204408
2093,42.057241,-71.344361
2101,42.371091,-71.02533
